NAME,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD 137906,15 34 19.9320488902,-72 46 46.073391155,-11.541,-5.386,8.75,8.73,8.568,8.576,8.524
HIP  55332,11 19 50.7497704104,-72 57 29.854528055,-43.324,-4.59,6.46,6.46,6.392,6.442,6.373
HIP  85328,17 26 14.5855651960,-73 09 04.672058952,8.216,-2.035,8.8,8.74,8.563,8.557,8.553
HD 122598,14 06 35.2152454226,-73 13 13.211499776,-9.026,-7.459,9.42,9.38,9.203,9.191,9.209
HIP  86664,17 42 26.8353338375,-73 23 34.046628624,-5.054,-29.342,7.31,7.31,7.32,7.362,7.31
HD 113018,13 02 35.7584608698,-73 24 34.109086333,-8.528,-3.69,10.72,10.71,10.386,10.387,10.393
HD 124344,14 17 10.4060697421,-73 41 05.546758787,-8.853,-4.034,9.56,9.51,9.323,9.37,9.304
HIP  93739,19 05 12.2942914350,-73 46 44.719299719,-5.561,-14.377,8.03,7.98,7.827,7.856,7.826
HD 114686,13 14 17.7069812036,-73 52 57.945060099,-19.204,-9.337,8.92,8.87,8.649,8.629,8.619
HD 155355,17 18 36.8844142725,-73 54 17.244010810,-3.206,-11.939,8.79,8.76,8.757,8.763,8.743
HIP  84510,17 16 35.6479531635,-74 31 58.843142125,-23.123,-53.751,6.224,6.227,6.209,6.234,6.22
HIP  83328,17 01 50.0812253709,-74 56 28.661883289,-4.25,-16.956,9.09,9.04,8.934,8.946,8.916
HIP  90133,18 23 36.4489563457,-75 02 39.392103359,4.573,19.406,5.495,5.456,5.371,5.404,5.363
HD 138071,15 36 36.9484748855,-75 47 28.086309968,2.2,-4.3,9.73,9.7,9.45,9.47,9.409
HIP  97511,19 49 10.1714177427,-76 54 30.907533741,33.351,-36.217,7.16,7.137,7.104,7.126,7.084
HIP  42830,08 43 36.3467766606,-77 02 58.317689106,-21.497,3.2,8.11,8.09,7.98,7.988,7.972
HIP  69380,14 12 09.9187280449,-77 05 30.482997126,-10.282,-4.641,10.3,10.23,9.969,9.953,9.941
HD 142950,16 05 54.9641116001,-77 16 09.777753080,8.439,1.319,9.69,9.66,9.688,9.697,9.709
HIP 100491,20 22 41.2386243563,-78 57 39.283449375,30.493,-44.079,6.64,6.63,6.59,6.62,6.597
HIP  40415,08 15 01.7278862069,-79 19 07.226059601,-16.448,32.86,7.01,7.02,6.984,7.04,7.019
HD  89341,10 13 15.3783985982,-79 21 31.830608589,-9.03,12.405,8.65,8.6,8.274,8.307,8.26
HIP  61192,12 32 18.5941884067,-79 47 01.838394906,-28.743,6.293,7.16,7.09,6.924,6.91,6.882
HIP  40949,08 21 26.1285927405,-80 42 26.836425247,-21.366,29.058,9,8.94,8.728,8.796,8.714
HIP  92928,18 56 00.0240189735,-80 43 40.391686602,9.773,-8.478,6.59,6.56,6.401,6.358,6.364
HIP  28849,06 05 23.8827312676,-81 59 26.418356194,4.903,25.344,8.33,8.29,8.192,8.235,8.207
HD  36504,05 10 05.3055373524,-84 16 43.527462943,-1.497,12.103,8.66,8.59,8.467,8.478,8.501
HD  88957,09 33 04.4731911775,-88 38 21.428841653,-18.658,-3.788,10.05,10.01,9.804,9.823,9.811
