NAME,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD  79813,09 14 01.4506668153,-55 40 41.970563126,-17.514,11.836,8.56,8.56,8.506,8.527,8.51
HD 113222,13 02 59.0847106870,-55 40 53.283070875,-13.148,-3.691,10.12,10.05,9.819,9.833,9.764
HD 101752,11 42 11.0660918356,-55 41 18.053938589,-15.268,0.683,9.88,9.9,9.8,9.85,9.833
HD  58773,07 24 00.2248306499,-55 44 08.899944791,-5.1,11.61,9.59,9.52,9.324,9.331,9.274
HD  91523,10 32 43.0379532561,-55 44 26.313999957,-14.141,1.807,9.56,9.56,9.521,9.522,9.506
HD  79590,09 12 51.2648089481,-55 48 21.673510496,-10.86,14.205,9.3,9.27,9.119,9.11,9.09
HD  81814,09 25 51.3977298687,-55 50 06.239852792,-11.015,7.479,9.68,9.67,9.57,9.6,9.567
HIP  87695,17 54 44.3218682613,-55 53 54.349576323,7.225,-10.698,7.33,7.29,7.15,7.163,7.136
HD 203999,21 27 43.9111475294,-55 59 23.053735108,1.052,5.795,10.07,10.02,9.946,9.952,9.936
HD 122032,14 00 45.3075704099,-56 10 12.696414733,-4.827,-4.1,9.67,9.61,9.415,9.412,9.362
HD  43833,06 14 56.4441532271,-56 12 04.893245146,-3.747,10.912,8.9,8.9,8.861,8.921,8.886
HD  95355,10 59 43.0239046126,-56 12 20.647827878,-12.648,14.866,7.55,7.54,7.498,7.531,7.503
HD   1465,00 18 28.2600521640,-56 14 51.662972591,5.132,-9.947,10.687,10.694,10.54,10.582,10.545
HIP  53935,11 02 10.4130153701,-56 24 21.397879847,-15.715,-0.3,8.32,8.3,8.124,8.104,8.079
HD 105817,12 10 54.7254870949,-56 25 32.743148169,-23.76,0.277,8.49,8.46,8.351,8.338,8.351
HD  87155,10 01 21.1497636103,-56 28 17.573057707,-14.892,6.297,8.64,8.63,8.577,8.6,8.591
HIP  58711,12 02 30.9864223418,-56 33 37.600948075,-31.675,-3.777,7.42,7.38,7.204,7.194,7.16
HD  99512,11 26 24.5911714639,-56 37 34.510648604,-11.914,3.889,9.21,9.19,9.072,9.115,9.075
HD  60131,07 29 52.6895945753,-56 43 39.685442169,-9.63,11.463,8.86,8.81,8.655,8.658,8.661
HIP  43971,08 57 15.0271591369,-56 45 31.662090980,-9.055,4.972,9.05,9.01,8.83,8.853,8.802
HD  95841,11 02 39.0373285624,-56 46 38.115825492,-13.757,0.149,9.02,8.98,8.928,8.992,8.95
HD  91052,10 29 20.1288553179,-56 48 29.745711720,-9.079,6.056,8.86,8.86,8.728,8.81,8.752
HD  48155,06 38 33.8297245672,-56 50 30.796060564,-1.204,11.08,9.63,9.62,9.612,9.609,9.63
