,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,SP_TYPE,SP_QUAL,SP_BIBCODE,OTYPE_S,OTYPES,PLX_VALUE,PLX_PREC,PLX_ERROR,PLX_QUAL,PLX_BIBCODE,PMRA,PMDEC,PMRA_PREC,PMDEC_PREC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PM_QUAL,PM_BIBCODE,25s,1.5m,B-V,J-K,Mv,CRITERIA,MASK_E(B-V),MASK_E(J-K),MASK_SP_TYPE,MASK_OTYPE,MASK_25s,MASK_Mv,MASK_1.5m,MASK_N,MASK_Good
HIP13917,HD  18571,02 59 16.7596,+01 14 40.476,14,14,0.0661,0.0525,90,A,O,2018yCat.1345....0G,,8.66,8.63,,,8.504,8.499,8.519,A0V,C,1999MSS...C05....0H,Star,*|IR|UV,1.9151,4,0.0763,A,2018yCat.1345....0G,12.387,-5.149,3,3,0.109,0.105,90,A,2018yCat.1345....0G,1.0,1.0,0.02999999999999936,-0.015000000000000568,-0.06854271862221734,,0,0,0,0,0,0,0,0,True
HIP24607,HD  34317,05 16 41.0392,+01 56 50.380,14,14,0.0622,0.0495,90,A,O,2018yCat.1345....0G,,6.402,6.4079999999999995,,,6.353,6.377999999999999,6.303,A0V,C,1999MSS...C05....0H,Star,*|IR|UV,5.438,4,0.0704,A,2018yCat.1345....0G,-11.467,-7.519,3,3,0.13699999999999998,0.102,90,A,2018yCat.1345....0G,1.0,1.0,-0.005999999999999339,0.04999999999999982,0.1070960162574035,,0,0,0,0,0,0,0,0,True
HIP45167,HD  79108,09 12 12.8805,+03 52 01.126,14,14,0.1167,0.1214,90,A,O,2018yCat.1345....0G,,6.127000000000001,6.131,,,6.142,6.162999999999999,6.119,A0V,C,1999MSS...C05....0H,PM*,*|PM*|IR|UV,8.6396,4,0.1349,A,2018yCat.1345....0G,-51.3,-5.71,2,2,0.37,0.18,0,A,2007A&A...474..653V,1.0,1.0,-0.0039999999999995595,0.023000000000000576,0.8280681789372122,,0,0,0,0,0,0,0,0,True
HIP22923,HD  31411,04 55 58.3522,+05 23 56.487,14,14,0.0414,0.031,90,A,O,2018yCat.1345....0G,,6.52,6.485,,,6.391,6.45,6.417000000000001,A0V,C,,Star,*|IR|UV,7.4254,4,0.0536,A,2018yCat.1345....0G,-16.758,-14.817,3,3,0.08800000000000001,0.061,90,A,2018yCat.1345....0G,1.0,1.0,0.034999999999999254,-0.02600000000000069,0.7108492684739723,,0,0,0,0,0,0,0,0,True
HIP33297,HD  50931,06 55 34.6182,+08 19 27.432,14,14,0.0804,0.0839,90,A,O,2018yCat.1345....0G,,6.305,6.257999999999999,,,6.178,6.165,6.131,A0V,C,,Star,*|IR|UV,10.4434,4,0.0943,A,2018yCat.1345....0G,-13.74,4.122,3,3,0.153,0.131,90,A,2018yCat.1345....0G,1.0,1.0,0.0470000000000006,0.04699999999999971,1.1806595627028282,,0,0,0,0,0,0,0,0,True
HIP24555,*  18 Ori,05 16 04.1347,+11 20 28.878,14,14,0.1417,0.1072,90,A,O,2018yCat.1345....0G,,5.5,5.515,,,5.443,5.474,5.462000000000001,A0V,C,,Star,*|IR|UV,8.3569,4,0.1417,A,2018yCat.1345....0G,-8.003,-6.056,3,3,0.34600000000000003,0.257,90,A,2018yCat.1345....0G,1.0,1.0,-0.01499999999999968,-0.019000000000001016,0.179976026805693,,0,0,0,0,0,0,0,0,True
HIP98400,HD 189411,19 59 35.1125,+11 53 21.782,14,14,0.0392,0.0295,90,A,O,2018yCat.1345....0G,,9.09,9.03,,,8.791,8.767000000000001,8.756,A0V,C,,Star,**|*|IR|UV,1.8371,4,0.0581,A,2018yCat.1345....0G,-0.03,-3.3810000000000002,3,3,0.087,0.061,90,A,2018yCat.1345....0G,1.0,1.0,0.0600000000000005,0.03500000000000014,0.13166398584629074,,0,0,0,0,0,0,0,0,True
HIP65599,HD 116960,13 26 58.9426,+11 54 30.791,14,14,0.0587,0.043,90,A,O,2018yCat.1345....0G,,7.97,8.0,,,7.928999999999999,7.975,7.938,A0V,C,,Star,*|IR|UV,3.3881,4,0.0906,A,2018yCat.1345....0G,0.7859999999999999,-5.229,3,3,0.20600000000000002,0.083,90,A,2018yCat.1345....0G,1.0,1.0,-0.03000000000000025,-0.009000000000000341,0.7592811003938106,,0,0,0,0,0,0,0,0,True
HD114381,HD 114381,13 10 04.7191,+12 19 13.229,14,14,0.0489,0.0422,90,A,O,2018yCat.1345....0G,,9.55,9.49,,,,,,A0V,C,,Star,*,1.4509999999999998,4,0.0609,A,2018yCat.1345....0G,-12.171,-5.154,3,3,0.111,0.084,90,A,2018yCat.1345....0G,1.0,1.0,0.0600000000000005,,0.07933706218867914,,0,0,0,0,0,0,0,0,True
HIP98640,HD 189920,20 02 04.9381,+12 19 19.545,14,14,0.0304,0.0202,90,A,O,2018yCat.1345....0G,,9.42,9.36,,,9.096,9.082,9.046,A0V,C,,Star,*|IR,1.2158,4,0.0424,A,2018yCat.1345....0G,3.423,0.611,3,3,0.063,0.043,90,A,2018yCat.1345....0G,1.0,1.0,0.0600000000000005,0.05000000000000071,-0.4346893047578912,,0,0,0,0,0,0,0,0,True
HD111744,HD 111744,12 51 23.3274,+12 22 21.999,14,14,0.0524,0.0376,90,A,O,2018yCat.1345....0G,,8.86,8.86,,,8.73,8.787,8.76,A0V,C,,Star,*|IR|UV,1.6022,4,0.0607,A,2018yCat.1345....0G,-6.08,13.24,3,3,0.115,0.081,90,A,2018yCat.1345....0G,1.0,1.0,0.0,-0.02999999999999936,-0.1164163629975814,,0,0,0,0,0,0,0,0,True
HIP75230,*   7 Ser,15 22 23.2337,+12 34 03.076,14,14,0.0509,0.0331,90,A,O,2018yCat.1345....0G,,6.275,6.28,,,6.2170000000000005,6.256,6.247999999999999,A0V,C,,Star,*|IR|UV,6.5732,4,0.0595,A,2018yCat.1345....0G,-0.7190000000000001,-2.99,3,3,0.09699999999999999,0.08800000000000001,90,A,2018yCat.1345....0G,1.0,1.0,-0.004999999999999893,-0.030999999999998806,0.3871342328874285,,0,0,0,0,0,0,0,0,True
HD96781,HD  96781,11 08 56.3669,+13 21 11.258,14,14,0.0558,0.0447,90,A,O,2018yCat.1345....0G,,10.22,10.2,,,10.058,10.036,10.035,A0V,D,,Star,*|IR,1.5859,4,0.0563,A,2018yCat.1345....0G,-6.433,-0.332,3,3,0.11599999999999999,0.084,90,A,2018yCat.1345....0G,1.0,1.0,0.02000000000000135,0.022999999999999687,1.128378995559248,,0,0,0,0,0,0,0,0,True
HD56248,HD  56248,07 16 54.6066,+15 26 26.614,14,14,0.0616,0.0607,90,A,O,2018yCat.1345....0G,,9.08,9.04,,,8.959,9.015,8.964,A0V,C,,Star,*|IR|UV,1.6419,4,0.0699,A,2018yCat.1345....0G,-1.8559999999999999,-9.158,3,3,0.11800000000000001,0.105,90,A,2018yCat.1345....0G,1.0,1.0,0.040000000000000924,-0.005000000000000782,-0.02926648568916769,,0,0,0,0,0,0,0,0,True
HD57208,HD  57208,07 20 50.5653,+15 39 55.892,14,14,0.067,0.0463,90,A,O,2018yCat.1345....0G,,8.91,8.92,,,8.906,8.946,8.943999999999999,A0V,C,,Star,*|IR|UV,2.8558,4,0.067,A,2018yCat.1345....0G,-8.533,-8.386000000000001,3,3,0.124,0.091,90,A,2018yCat.1345....0G,1.0,1.0,-0.009999999999999787,-0.03799999999999848,1.235138946301844,,0,0,0,0,0,0,0,0,True
HD101060,HD 101060,11 37 57.8095,+15 46 36.868,14,14,0.0855,0.0658,90,A,O,2018yCat.1345....0G,,8.77,8.78,,,8.79,8.828,8.793,A0V,C,,Star,*|IR|UV,3.0785,4,0.1005,A,2018yCat.1345....0G,-7.1979999999999995,-2.144,3,3,0.162,0.13,90,A,2018yCat.1345....0G,1.0,1.0,-0.009999999999999787,-0.0030000000000001137,1.2581957896375018,,0,0,0,0,0,0,0,0,True
HD121880,HD 121880,13 57 52.1210,+16 12 07.519,14,14,0.0446,0.0354,90,A,O,2018yCat.1345....0G,,7.646,7.582999999999999,,,7.39,7.462000000000001,7.4079999999999995,A0V,D,,PM*,*|PM*|IR|UV,3.9096,4,0.0496,A,2018yCat.1345....0G,16.63,-48.928999999999995,3,3,0.091,0.069,90,A,2018yCat.1345....0G,1.0,1.0,0.06300000000000061,-0.017999999999999794,0.31371163010057324,,0,0,0,0,0,0,0,0,True
HIP79332,* q Her,16 11 28.7384,+16 39 56.488,14,14,0.0407,0.0434,90,A,O,2018yCat.1345....0G,,6.099,6.082000000000001,,,6.0120000000000005,6.0360000000000005,6.0329999999999995,A0V,C,,Star,*|IR|UV,8.4858,4,0.0594,A,2018yCat.1345....0G,3.534,4.791,3,3,0.07200000000000001,0.07400000000000001,90,A,2018yCat.1345....0G,1.0,1.0,0.01699999999999946,-0.02099999999999902,0.6634139587886517,,0,0,0,0,0,0,0,0,True
HD57450,HD  57450,07 21 54.7650,+16 40 44.199,14,14,0.0574,0.048,90,A,O,2018yCat.1345....0G,,9.28,9.3,,,9.279,9.282,9.277000000000001,A0V,C,,Star,*|IR,2.2102,4,0.0621,A,2018yCat.1345....0G,-1.291,-2.088,3,3,0.109,0.091,90,A,2018yCat.1345....0G,1.0,1.0,-0.02000000000000135,0.0019999999999988916,1.0951578728743163,,0,0,0,0,0,0,0,0,True
HIP18717,HD  25175,04 00 36.8877,+17 17 47.971,14,14,0.0495,0.0279,90,A,O,2018yCat.1345....0G,,6.352,6.305,,,6.064,6.09,6.074,A0V,C,,Star,*|IR|UV,5.1782,4,0.0524,A,2018yCat.1345....0G,1.7919999999999998,-31.228,3,3,0.134,0.07,90,A,2018yCat.1345....0G,1.0,1.0,0.0470000000000006,-0.009999999999999787,-0.29565589810851434,,0,0,0,0,0,0,0,0,True
HD124773,HD 124773,14 15 11.0996,+17 31 03.270,14,14,0.055,0.0571,90,A,O,2018yCat.1345....0G,,8.97,8.96,,,8.991,9.071,9.017000000000001,A0V,C,,Star,*|IR|UV,2.6455,4,0.0679,A,2018yCat.1345....0G,-16.89,7.1129999999999995,3,3,0.121,0.13699999999999998,90,A,2018yCat.1345....0G,1.0,1.0,0.009999999999999787,-0.026000000000001577,1.03603882934038,,0,0,0,0,0,0,0,0,True
HIP88429,HD 165029,18 03 14.5626,+19 36 47.356,14,14,0.0249,0.0381,90,A,O,2018yCat.1345....0G,6.42,6.45,6.42,,,6.275,6.274,6.279,A0V,C,,Star,*|IR|UV,7.3699,4,0.0404,A,2018yCat.1345....0G,-4.631,-1.0190000000000001,3,3,0.053,0.07400000000000001,90,A,2018yCat.1345....0G,1.0,1.0,0.03000000000000025,-0.0039999999999995595,0.6478079754263085,,0,0,0,0,0,0,0,0,True
HD252510,HD 252510,06 09 44.8499,+20 04 41.920,14,14,0.0603,0.0538,90,A,O,2018yCat.1345....0G,,9.79,9.78,,,9.568999999999999,9.571,9.533,A0V,C,,Star,*|IR,1.8329,4,0.0684,A,2018yCat.1345....0G,1.3780000000000001,-3.883,3,3,0.11199999999999999,0.091,90,A,2018yCat.1345....0G,1.0,1.0,0.009999999999999787,0.03599999999999959,1.0591938560907108,,0,0,0,0,0,0,0,0,True
HIP95560,*   5 Vul,19 26 13.2462,+20 05 51.839,14,14,0.0549,0.0694,90,A,O,2018yCat.1345....0G,,5.585,5.591,,,5.575,5.627000000000001,5.6129999999999995,A0V,C,,Star,*|*iC|IR|UV,13.8921,4,0.09,A,2018yCat.1345....0G,3.395,-34.787,3,3,0.114,0.13699999999999998,90,A,2018yCat.1345....0G,1.0,1.0,-0.006000000000000227,-0.03799999999999937,1.3267395042373482,,0,0,0,0,0,0,0,0,True
HD109055,HD 109055,12 31 41.2769,+22 07 24.419,14,14,0.0516,0.0399,90,A,O,2018yCat.1345....0G,,8.86,8.82,,,8.731,8.749,8.735,A0V,C,,Star,*|IR|UV,1.7890000000000001,4,0.0674,A,2018yCat.1345....0G,-42.17100000000001,3.1260000000000003,3,3,0.11199999999999999,0.081,90,A,2018yCat.1345....0G,1.0,1.0,0.03999999999999915,-0.0039999999999995595,-0.06294829716313152,,0,0,0,0,0,0,0,0,True
HIP59861,BD+25  2478,12 16 33.8853,+24 36 33.739,14,14,0.0755,0.0438,90,A,O,2018yCat.1345....0G,,10.68,10.73,,,10.592,10.637,10.629000000000001,A0V,C,1961ApJ...134..195S,Star,*|*iC|IR|blu,0.8703,4,0.0968,A,2018yCat.1345....0G,-1.9680000000000002,-16.494,3,3,0.139,0.095,90,A,2018yCat.1345....0G,1.0,1.0,-0.05000000000000071,-0.03700000000000081,0.6108449176116346,,0,0,0,0,0,0,0,0,True
HIP14719,HD  19600,03 10 08.8393,+27 49 11.158,14,14,0.0618,0.0439,90,A,O,2018yCat.1345....0G,,6.4270000000000005,6.412000000000001,,,6.29,6.335,6.318,A0V,C,,PM*,*|PM*|IR|UV,6.4497,4,0.0701,A,2018yCat.1345....0G,17.598,-50.863,3,3,0.131,0.09699999999999999,90,A,2018yCat.1345....0G,1.0,1.0,0.01499999999999968,-0.02799999999999958,0.4049475721107406,,0,0,0,0,0,0,0,0,True
HD46053,HD  46053,06 32 22.2333,+29 22 48.722,14,14,0.4675,0.4625,90,A,O,2018yCat.1345....0G,,8.98,8.92,,,8.675,8.676,8.661,A0V,C,,Star,*|IR|UV,3.427,4,0.5041,A,2018yCat.1345....0G,5.335,-15.245999999999999,3,3,0.894,0.8170000000000001,90,A,2018yCat.1345....0G,1.0,1.0,0.0600000000000005,0.014000000000001123,1.3755705221493326,,0,0,0,0,0,0,0,0,True
HD258439,HD 258439,06 30 53.8027,+29 25 23.624,14,14,0.0455,0.0415,90,A,O,2018yCat.1345....0G,,9.49,9.43,,,9.155,9.113999999999999,9.104,A0V,C,,Star,*|IR,1.2456,4,0.0521,A,2018yCat.1345....0G,1.203,-4.868,3,3,0.091,0.08199999999999999,90,A,2018yCat.1345....0G,1.0,1.0,0.0600000000000005,0.051000000000000156,-0.31210700219968207,,0,0,0,0,0,0,0,0,True
7Tri,*   7 Tri,02 15 56.2880,+33 21 32.020,14,14,0.1879,0.1606,90,A,O,2018yCat.1345....0G,,5.239,5.249,,,5.195,5.22,5.228,A0V,C,,Star,*|IR|UV,9.6048,4,0.2134,A,2018yCat.1345....0G,-15.585999999999999,-31.951999999999998,3,3,0.4,0.32799999999999996,90,A,2018yCat.1345....0G,1.0,1.0,-0.009999999999999787,-0.032999999999999474,0.1979416300589917,,0,0,0,0,0,0,0,0,True
HIP55627,HD  98989,11 23 46.4660,+34 14 33.809,14,14,0.0639,0.0667,90,A,O,2018yCat.1345....0G,,9.25,9.24,,,9.2,9.181000000000001,9.165,A0V,C,,Star,*|IR,1.6028,4,0.0938,A,2018yCat.1345....0G,16.85,-14.02,2,2,1.2,0.87,0,A,2007A&A...474..653V,1.0,1.0,0.009999999999999787,0.03500000000000014,0.2278966688033118,,0,0,0,0,0,0,0,0,True
HD227934,HD 227934,20 08 54.8913,+35 24 05.693,14,14,0.023,0.0302,90,A,O,2018yCat.1345....0G,,9.44,9.42,,,9.065,9.09,9.048,A0V,C,,Star,*|*iC|IR,1.3103,4,0.0334,A,2018yCat.1345....0G,0.606,-2.944,3,3,0.051,0.062,90,A,2018yCat.1345....0G,1.0,1.0,0.019999999999999574,0.01699999999999946,-0.06614629489546946,,0,0,0,0,0,0,0,0,True
HIP18769,HD  25152,04 01 14.8320,+36 59 22.104,14,14,0.0937,0.052000000000000005,90,A,O,2018yCat.1345....0G,8.18,6.3870000000000005,6.388999999999999,,,6.256,6.292000000000001,6.268,A0V,C,,Star,*|*iC|IR|UV,6.3336,4,0.1176,A,2018yCat.1345....0G,-7.449,-0.555,3,3,0.275,0.161,90,A,2018yCat.1345....0G,1.0,1.0,-0.0019999999999988916,-0.011999999999999567,0.40455315965827465,,0,0,0,0,0,0,0,0,True
HD192745,HD 192745,20 15 02.5008,+37 23 24.287,14,14,0.0325,0.0397,90,A,O,2018yCat.1345....0G,,8.2,8.19,,,8.103,8.138,8.138,A0V,C,,Star,*|IR|UV,3.0553,4,0.0479,A,2018yCat.1345....0G,-11.405,-9.41,3,3,0.071,0.08,90,A,2018yCat.1345....0G,1.0,1.0,0.009999999999999787,-0.03500000000000014,0.578769300303427,,0,0,0,0,0,0,0,0,True
HD22859,HD  22859,03 41 43.3547,+37 35 13.757,14,14,0.0527,0.0315,90,A,O,2018yCat.1345....0G,,7.85,7.8,,,7.622000000000001,7.6579999999999995,7.631,A0V,D,,Star,*|IR|UV,5.7631,4,0.0642,A,2018yCat.1345....0G,22.267,-27.979,3,3,0.121,0.091,90,A,2018yCat.1345....0G,1.0,1.0,0.04999999999999982,-0.008999999999999453,1.4207807771288872,,0,0,0,0,0,0,0,0,True
HD228585,HD 228585,20 15 21.3384,+37 35 53.102,14,14,0.0336,0.0347,90,A,O,2018yCat.1345....0G,,9.568999999999999,9.56,,,9.484,9.484,9.475,A0V,C,,Star,*|IR,1.5584,4,0.0431,A,2018yCat.1345....0G,-3.5839999999999996,-7.492999999999999,3,3,0.685,0.625,90,A,2016A&A...595A...2G,1.0,1.0,0.008999999999998565,0.009000000000000341,0.49054469767270675,,0,0,0,0,0,0,0,0,True
HD191225,HD 191225,20 07 28.0718,+37 38 41.348,14,14,0.0325,0.0394,90,A,O,2018yCat.1345....0G,,8.55,8.55,,,8.496,8.522,8.536,A0V,C,,Star,*|IR|UV,3.1352,4,0.0469,A,2018yCat.1345....0G,3.4589999999999996,-5.477,3,3,0.07200000000000001,0.08199999999999999,90,A,2018yCat.1345....0G,1.0,1.0,0.0,-0.03999999999999915,1.0313262523502313,,0,0,0,0,0,0,0,0,True
BD+394890,BD+39  4890,22 35 48.0547,+40 05 27.401,14,14,0.0311,0.0371,90,A,O,2018yCat.1345....0G,,9.48,9.47,,,9.392999999999999,9.431000000000001,9.406,A0V,C,,Star,*|IR|UV,2.1892,4,0.0535,A,2018yCat.1345....0G,-2.5469999999999997,-5.19,3,3,0.065,0.084,90,A,2018yCat.1345....0G,1.0,1.0,0.009999999999999787,-0.013000000000001677,1.1349271973523374,,0,0,0,0,0,0,0,0,True
HIP55182,HD  98152,11 17 55.1536,+40 50 14.413,14,14,0.0467,0.0713,90,A,O,2018yCat.1345....0G,,8.98,8.93,,,8.869,8.888,8.884,A0V,C,,Star,*|IR,2.897,4,0.0839,A,2018yCat.1345....0G,7.902,2.62,3,3,0.095,0.16899999999999998,90,A,2018yCat.1345....0G,1.0,1.0,0.05000000000000071,-0.015000000000000568,1.0572424760188073,,0,0,0,0,0,0,0,0,True
HIP15925,HD  21038,03 25 09.3866,+41 15 26.281,14,14,0.0544,0.043,90,A,O,2018yCat.1345....0G,6.55,6.55,6.52,,,6.332999999999999,6.356,6.34,A0V,C,,Star,*|IR|UV,5.4164,4,0.0662,A,2018yCat.1345....0G,-8.807,5.235,3,3,0.131,0.109,90,A,2018yCat.1345....0G,1.0,1.0,0.03000000000000025,-0.007000000000000561,0.07905364708751575,,0,0,0,0,0,0,0,0,True
HD63160,HD  63160,07 49 19.6348,+43 14 43.606,14,14,0.0595,0.0462,90,A,O,2018yCat.1345....0G,,9.26,9.24,,,9.092,9.094,9.064,A0V,C,,Star,*|IR,2.4811,4,0.0763,A,2018yCat.1345....0G,-4.072,-2.7680000000000002,3,3,0.131,0.091,90,A,2018yCat.1345....0G,1.0,1.0,0.019999999999999574,0.02800000000000047,1.1402213436765918,,0,0,0,0,0,0,0,0,True
[SKV93]_2-178,[SKV93] 2-178,20 57 58,+43 14.3,4,4,,,0,E,,,,,12.28,,,,,,A0V,D,,Star,*,,0,,,,,,0,0,,,0,,,,,,,,,0,0,0,0,0,0,0,0,True
HR8422,HD 209932,22 05 50.4496,+45 06 44.996,14,14,0.0306,0.0325,90,A,O,2018yCat.1345....0G,,6.457999999999999,6.494,,,6.528,6.595,6.559,A0V,C,,Star,*|IR|UV,5.0637,4,0.0382,A,2018yCat.1345....0G,14.097000000000001,-4.188,3,3,0.066,0.066,90,A,2018yCat.1345....0G,1.0,1.0,-0.036000000000000476,-0.031000000000000583,0.147739839505445,,0,0,0,0,0,0,0,0,True
BD+443588,BD+44  3588,20 48 00.4155,+45 21 53.348,14,14,0.0319,0.0356,90,A,O,2018yCat.1345....0G,,9.62,9.62,,,9.465,9.447000000000001,9.419,A0V,C,,Star,*|IR,2.1159,4,0.0399,A,2018yCat.1345....0G,-3.2510000000000003,-5.492999999999999,3,3,0.07,0.068,90,A,2018yCat.1345....0G,1.0,1.0,0.0,0.045999999999999375,1.24747569282132,,0,0,0,0,0,0,0,0,True
HIP53735,HD  95126,10 59 40.2071,+45 47 18.886,14,14,0.0385,0.0593,90,A,O,2018yCat.1345....0G,,8.88,8.89,,,8.874,8.881,8.856,A0V,C,,Star,*|IR|UV,2.3916,4,0.0725,A,2018yCat.1345....0G,-0.314,-15.960999999999999,3,3,0.087,0.139,90,A,2018yCat.1345....0G,1.0,1.0,-0.009999999999999787,0.018000000000000682,0.8199427237405609,,0,0,0,0,0,0,0,0,True
HD92573,HD  92573,10 42 07.6697,+45 50 54.171,14,14,0.0904,0.1002,90,A,O,2018yCat.1345....0G,,10.1,10.09,,,9.996,9.971,9.995,A0V,C,,Star,*|IR,1.3344,4,0.1427,A,2018yCat.1345....0G,-2.201,1.349,3,3,0.18100000000000002,0.245,90,A,2018yCat.1345....0G,1.0,1.0,0.009999999999999787,0.0010000000000012221,0.679930166468318,,0,0,0,0,0,0,0,0,True
HD199006,HD 199006,20 52 31.8839,+46 27 19.514,14,14,0.0292,0.0313,90,A,O,2018yCat.1345....0G,,9.16,9.1,,,8.943999999999999,8.968,8.933,A0V,C,,Star,*|IR,3.2006,4,0.0371,A,2018yCat.1345....0G,6.731,-0.7290000000000001,3,3,0.6679999999999999,0.6409999999999999,90,A,2016A&A...595A...2G,1.0,1.0,0.0600000000000005,0.010999999999999233,1.40715700451067,,0,0,0,0,0,0,0,0,True
HD200252,HD 200252,21 00 47.4540,+47 05 31.015,14,14,0.0367,0.0449,90,A,O,2018yCat.1345....0G,,9.39,9.46,,,9.423,9.414,9.41,A0V,C,,Star,*|IR,2.057,4,0.0476,A,2018yCat.1345....0G,3.418,-0.39399999999999996,3,3,0.077,0.07400000000000001,90,A,2018yCat.1345....0G,1.0,1.0,-0.07000000000000028,0.0129999999999999,1.2816714584736206,,0,0,0,0,0,0,0,0,True
HIP16966,HD  22401,03 38 15.5794,+47 34 37.150,14,14,0.0972,0.07200000000000001,90,A,O,2018yCat.1345....0G,,7.47,7.46,,,7.3629999999999995,7.393,7.375,A0V,C,2012ApJ...752...58Z,Star,*|*|*iC|IR|UV,6.462000000000001,4,0.1298,A,2018yCat.1345....0G,23.76,-28.801,3,3,0.276,0.20800000000000002,90,A,2018yCat.1345....0G,1.0,1.0,0.009999999999999787,-0.012000000000000455,1.4753347684081284,,0,0,0,0,0,0,0,0,True
HIP104245,HD 201320,21 07 13.3689,+47 44 03.535,8,8,0.408,0.326,90,A,O,2016A&A...595A...2G,,7.38,7.33,,,,,,A0V,C,,Star,UV|**|*,3.03,2,0.41,A,2016A&A...595A...2G,7.206,8.707,3,3,0.035,0.033,90,A,2016A&A...595A...2G,1.0,1.0,0.04999999999999982,,-0.4452868574884762,,0,0,0,0,0,0,0,0,True
BD+471133,BD+47  1133,05 20 07.3743,+48 00 18.986,14,14,0.0464,0.0428,90,A,O,2018yCat.1345....0G,,10.36,10.31,,,9.757,9.772,9.72,A0V,D,,Star,*|IR,1.5805,4,0.0504,A,2018yCat.1345....0G,-2.5340000000000003,-3.9560000000000004,3,3,0.079,0.073,90,A,2018yCat.1345....0G,1.0,1.0,0.049999999999998934,0.036999999999999034,1.121472500877997,,0,0,0,0,0,0,0,0,True
HR1482,HD  29526,04 41 24.1281,+48 18 03.164,14,14,0.0893,0.0578,90,A,O,2018yCat.1345....0G,,5.642,5.652,,,5.662999999999999,5.667999999999999,5.649,A0V,C,,PM*,*|PM*|IR|UV,9.9199,4,0.1194,A,2018yCat.1345....0G,44.449,-45.056000000000004,3,3,0.153,0.1,90,A,2018yCat.1345....0G,1.0,1.0,-0.009999999999999787,0.013999999999999346,0.6710364708177216,,0,0,0,0,0,0,0,0,True
HIP114714,HD 219290,23 14 14.3815,+50 37 04.419,14,14,0.0363,0.0385,90,A,O,2018yCat.1345....0G,6.25,6.3,6.31,,,6.297000000000001,6.315,6.321000000000001,A0V,C,,Star,*|IR|UV,8.4104,4,0.0528,A,2018yCat.1345....0G,45.199,-5.922000000000001,3,3,0.07,0.081,90,A,2018yCat.1345....0G,1.0,1.0,-0.009999999999999787,-0.02400000000000002,0.970583257028604,,0,0,0,0,0,0,0,0,True
86UMa,*  86 UMa,13 53 51.0141,+53 43 43.232,14,14,0.0592,0.0583,90,A,O,2018yCat.1345....0G,,5.6579999999999995,5.695,,,5.648,5.707999999999999,5.678,A0V,C,,Star,*|IR|UV,6.6328,4,0.0762,A,2018yCat.1345....0G,-28.776,-6.242000000000001,3,3,0.107,0.10800000000000001,90,A,2018yCat.1345....0G,1.0,1.0,-0.03700000000000081,-0.03000000000000025,-0.06146548931537082,,0,0,0,0,0,0,0,0,True
HIP35787,HD 237611,07 22 53.8702,+55 20 27.232,14,14,0.057999999999999996,0.0565,90,A,O,2018yCat.1345....0G,,7.56,7.57,,,7.497999999999999,7.555,7.513999999999999,A0V,C,,Star,*|IR|UV|X|**,4.7093,4,0.1032,A,2018yCat.1345....0G,-2.813,-31.837,3,3,0.125,0.08,90,A,2018yCat.1345....0G,1.0,1.0,-0.010000000000000675,-0.016000000000000014,0.9712817875231878,,0,0,0,0,0,0,0,0,True
HIP66198,*  81 UMa,13 34 07.3058,+55 20 54.363,14,14,0.0536,0.0533,90,A,O,2018yCat.1345....0G,,5.569,5.587999999999999,,,5.6,5.653,5.635,A0V,C,,Star,*|IR|UV,10.7973,4,0.0685,A,2018yCat.1345....0G,-19.323,-5.891,3,3,0.106,0.109,90,A,2018yCat.1345....0G,1.0,1.0,-0.01899999999999924,-0.03500000000000014,0.8239258414625422,,0,0,0,0,0,0,0,0,True
HIP117450,HD 223386,23 48 53.9576,+59 58 44.171,14,14,0.1243,0.1073,90,A,O,2018yCat.1345....0G,,6.311,6.324,,,6.301,6.3260000000000005,6.331,A0V,C,,PM*,*|PM*|IR|UV,8.9043,4,0.1559,A,2018yCat.1345....0G,50.625,21.476999999999997,3,3,0.24,0.207,90,A,2018yCat.1345....0G,1.0,1.0,-0.0129999999999999,-0.03000000000000025,1.1194489182177918,,0,0,0,0,0,0,0,0,True
HD20095,HD  20095,03 16 41.9190,+59 59 26.703,14,14,0.0416,0.0445,90,A,O,2018yCat.1345....0G,,8.17,8.12,,,8.001,8.04,8.024,A0V,C,,Star,*|IR|UV,4.1104,4,0.0603,A,2018yCat.1345....0G,17.678,-17.627,3,3,0.069,0.099,90,A,2018yCat.1345....0G,1.0,1.0,0.05000000000000071,-0.022999999999999687,1.0069204346113507,,0,0,0,0,0,0,0,0,True
HIP15086,HD  19844,03 14 33.6188,+61 42 56.156,14,14,0.0427,0.0367,90,A,O,2018yCat.1345....0G,,7.93,7.88,,,7.659,7.657,7.646,A0V,C,,Star,*|IR|UV,4.117,4,0.047,A,2018yCat.1345....0G,-11.328,0.711,3,3,0.066,0.07400000000000001,90,A,2018yCat.1345....0G,1.0,1.0,0.04999999999999982,0.0129999999999999,0.7704043349874298,,0,0,0,0,0,0,0,0,True
