,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,SP_TYPE,SP_QUAL,SP_BIBCODE,OTYPE_S,OTYPES,PLX_VALUE,PLX_PREC,PLX_ERROR,PLX_QUAL,PLX_BIBCODE,PMRA,PMDEC,PMRA_PREC,PMDEC_PREC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PM_QUAL,PM_BIBCODE,25s,1.5m,B-V,J-K,Mv,CRITERIA,MASK_E(B-V),MASK_E(J-K),MASK_SP_TYPE,MASK_OTYPE,MASK_25s,MASK_Mv,MASK_1.5m,MASK_N,MASK_Good
HD146310,HD 146310,16 21 37.4450,-71 52 26.034,14,14,0.0781,0.0864,90,A,O,2018yCat.1345....0G,,6.72,6.7,,,6.672999999999999,6.647,6.568,A0V,C,1975MSS...C01....0H,Star,*|IR|UV,9.91,4,0.1217,A,2018yCat.1345....0G,-32.431,-26.351,3,3,0.142,0.179,90,A,2018yCat.1345....0G,1.0,1.0,0.019999999999999574,0.10499999999999954,1.6073682724263787,E(J-K)>0.05;Mv=1.6073682724263787;,0,1,0,0,0,1,0,2,False
HD130457,HD 130457,14 52 48.2509,-72 02 10.325,14,14,0.0452,0.0438,90,A,O,2018yCat.1345....0G,,10.32,10.15,,,9.915,9.851,9.811,A0V,C,1975MSS...C01....0H,Star,*|IR,1.3556,4,0.0579,A,2018yCat.1345....0G,-4.937,-0.851,3,3,0.08800000000000001,0.094,90,A,2018yCat.1345....0G,1.0,1.0,0.16999999999999993,0.1039999999999992,0.19015780082670386,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD74542,HD  74542,08 39 13.0560,-72 07 34.140,14,14,0.0452,0.0545,90,A,O,2018yCat.1345....0G,,9.21,9.17,,,9.049,9.027000000000001,8.957,A0V,C,1975MSS...C01....0H,Star,*|IR,3.3318,4,0.0517,A,2018yCat.1345....0G,-4.27,11.333,3,3,0.092,0.10400000000000001,90,A,2018yCat.1345....0G,1.0,1.0,0.040000000000000924,0.09199999999999875,1.6373946192810473,E(J-K)>0.05;Mv=1.6373946192810473;,0,1,0,0,0,1,0,2,False
HD25327,HD  25327,03 55 27.0041,-72 20 29.728,14,14,0.0261,0.0245,90,A,O,2018yCat.1345....0G,,9.46,9.35,,,9.158,9.124,9.155,A0V,C,1975MSS...C01....0H,Star,*|IR,3.2552,4,0.0281,A,2018yCat.1345....0G,-22.316999999999997,-0.505,3,3,0.05,0.05,90,A,2018yCat.1345....0G,1.0,1.0,0.11000000000000121,0.0030000000000001137,1.5113883842261386,E(B-V)>0.1;Mv=1.5113883842261386;,1,0,0,0,0,1,0,2,False
HD149954,HD 149954,16 44 27.3543,-72 27 16.955,14,14,0.0321,0.0375,90,A,O,2018yCat.1345....0G,,8.99,8.88,,,8.629,8.538,8.546,A0V,C,1975MSS...C01....0H,Star,*|IR,2.8449,4,0.0466,A,2018yCat.1345....0G,-2.148,-15.92,3,3,0.059000000000000004,0.092,90,A,2018yCat.1345....0G,1.0,1.0,0.10999999999999943,0.08300000000000018,0.748835026394526,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD104921,HD 104921,12 04 50.9459,-72 32 10.216,14,14,0.0264,0.0231,90,A,O,2018yCat.1345....0G,,9.75,9.48,,,8.861,8.794,8.689,A0V,C,1975MSS...C01....0H,Star,*|IR,2.8913,4,0.0327,A,2018yCat.1345....0G,-16.015,3.069,3,3,0.053,0.042,90,A,2018yCat.1345....0G,1.0,1.0,0.2699999999999996,0.1720000000000006,0.7999657810530623,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD113691,HD 113691,13 07 21.4652,-72 37 30.806,14,14,0.0235,0.0235,90,A,O,2018yCat.1345....0G,,10.3,10.03,,,9.738,9.715,9.648,A0V,C,1975MSS...C01....0H,Star,*|IR,1.7118,4,0.0273,A,2018yCat.1345....0G,-9.738999999999999,-5.74,3,3,0.042,0.044000000000000004,90,A,2018yCat.1345....0G,1.0,1.0,0.27000000000000135,0.08999999999999986,0.211765110203594,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD100369,HD 100369,11 31 59.1638,-72 47 40.100,14,14,0.0221,0.023,90,A,O,2018yCat.1345....0G,,10.12,9.9,,,9.189,9.102,9.025,A0V,C,1975MSS...C01....0H,Star,*|IR,1.6741,4,0.0257,A,2018yCat.1345....0G,-10.24,3.5380000000000003,3,3,0.043,0.043,90,A,2018yCat.1345....0G,1.0,1.0,0.21999999999999886,0.1639999999999997,0.21590698199907232,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD101010,HD 101010,11 36 33.4302,-72 53 45.679,14,14,0.0316,0.0294,90,A,O,2018yCat.1345....0G,,9.79,9.59,,,8.952,8.904,8.846,A0V,C,1975MSS...C01....0H,Star,*|IR,2.374,4,0.0337,A,2018yCat.1345....0G,-11.747,5.614,3,3,0.06,0.053,90,A,2018yCat.1345....0G,1.0,1.0,0.1999999999999993,0.10599999999999987,0.7374035730928639,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
HD121738,HD 121738,14 00 37.9804,-72 55 44.174,14,14,0.0295,0.0273,90,A,O,2018yCat.1345....0G,,10.2,10.02,,,9.603,9.552,9.533999999999999,A0V,C,1975MSS...C01....0H,Star,*|IR,2.4938,4,0.0327,A,2018yCat.1345....0G,-12.997,-6.972,3,3,0.055999999999999994,0.054000000000000006,90,A,2018yCat.1345....0G,1.0,1.0,0.17999999999999972,0.06900000000000084,1.3473081030115754,E(B-V)>0.1;E(J-K)>0.05;,1,1,0,0,0,0,0,2,False
